gid,split,date_min,date_max,n_leaves,voc_id,prospective,exact_recall,acquired_recall,bundle_frac,root_n_sig,root_bundle
8,test,2021-07-05,2021-07-09,258,Alpha,True,0.5714,0.2857,0.1473,2,N501Y
8,test,2021-07-05,2021-07-09,258,Beta,True,0.5714,0.2857,0.0000,2,N501Y
8,test,2021-07-05,2021-07-09,258,Delta,True,0.6667,0.5000,0.0000,1,
8,test,2021-07-05,2021-07-09,258,Omicron_BA1,True,0.2857,0.1786,0.0000,3,N501Y
8,test,2021-07-05,2021-07-09,258,Lambda,True,0.1667,0.0000,0.0000,1,
8,test,2021-07-05,2021-07-09,258,Mu,True,0.5556,0.3333,0.9109,2,N501Y
9,test,2021-07-09,2021-07-14,266,Gamma,True,1.0000,0.0833,0.9511,3,
9,test,2021-07-09,2021-07-14,266,Zeta,True,1.0000,0.0000,0.9511,0,
9,test,2021-07-09,2021-07-14,266,Alpha,True,0.5714,0.0000,0.1090,0,
9,test,2021-07-09,2021-07-14,266,Beta,True,0.4286,0.0000,0.0000,0,
9,test,2021-07-09,2021-07-14,266,Delta,True,0.6667,0.1667,0.0000,0,
9,test,2021-07-09,2021-07-14,266,Omicron_BA1,True,0.2857,0.0357,0.0000,0,
9,test,2021-07-09,2021-07-14,266,Lambda,True,0.1667,0.0000,0.0000,0,
9,test,2021-07-09,2021-07-14,266,Mu,True,0.5556,0.1111,0.9511,0,
10,test,2021-07-14,2021-07-23,298,Gamma,True,1.0000,0.5833,0.7886,5,K417T;N501Y
10,test,2021-07-14,2021-07-23,298,Zeta,True,1.0000,0.6667,0.7886,1,
10,test,2021-07-14,2021-07-23,298,Alpha,True,0.5714,0.2857,0.1510,2,N501Y
10,test,2021-07-14,2021-07-23,298,Beta,True,0.4286,0.1429,0.0000,2,N501Y
10,test,2021-07-14,2021-07-23,298,Delta,True,1.0000,0.8333,0.0034,1,
10,test,2021-07-14,2021-07-23,298,Omicron_BA1,True,0.3571,0.2500,0.0000,3,N501Y
10,test,2021-07-14,2021-07-23,298,Lambda,True,0.1667,0.0000,0.0000,1,
10,test,2021-07-14,2021-07-23,298,Mu,True,0.7778,0.5556,0.7886,2,N501Y
11,test,2021-07-23,2021-08-04,299,Gamma,True,1.0000,0.6667,0.4916,4,N501Y
11,test,2021-07-23,2021-08-04,299,Zeta,True,1.0000,0.6667,0.4950,1,
11,test,2021-07-23,2021-08-04,299,Alpha,True,0.7143,0.4286,0.1304,2,N501Y
11,test,2021-07-23,2021-08-04,299,Beta,True,0.7143,0.4286,0.0000,2,N501Y
11,test,2021-07-23,2021-08-04,299,Delta,True,1.0000,0.8333,0.0334,1,
11,test,2021-07-23,2021-08-04,299,Omicron_BA1,True,0.3929,0.2857,0.0000,3,N501Y
11,test,2021-07-23,2021-08-04,299,Lambda,True,0.5000,0.3333,0.0000,1,
11,test,2021-07-23,2021-08-04,299,Mu,True,0.7778,0.5556,0.4950,2,N501Y
12,test,2021-08-04,2021-08-06,298,Gamma,True,1.0000,0.1667,0.4564,2,
12,test,2021-08-04,2021-08-06,298,Zeta,True,1.0000,0.0000,0.4664,0,
12,test,2021-08-04,2021-08-06,298,Alpha,True,0.4286,0.0000,0.0906,0,
12,test,2021-08-04,2021-08-06,298,Beta,True,0.4286,0.0000,0.0000,0,
12,test,2021-08-04,2021-08-06,298,Delta,True,1.0000,0.1667,0.0067,0,
12,test,2021-08-04,2021-08-06,298,Omicron_BA1,True,0.3214,0.0714,0.0000,0,
12,test,2021-08-04,2021-08-06,298,Lambda,True,0.1667,0.0000,0.0000,0,
12,test,2021-08-04,2021-08-06,298,Mu,True,0.6667,0.1111,0.4564,0,
13,test,2021-08-06,2021-08-10,300,Gamma,False,1.0000,0.0833,0.5367,11,K417T;E484K;N501Y
13,test,2021-08-06,2021-08-10,300,Zeta,False,1.0000,0.0000,0.5367,3,E484K
13,test,2021-08-06,2021-08-10,300,Alpha,True,0.5714,0.2857,0.1300,2,N501Y
13,test,2021-08-06,2021-08-10,300,Beta,True,0.4286,0.0000,0.0000,3,E484K;N501Y
13,test,2021-08-06,2021-08-10,300,Delta,True,0.6667,0.5000,0.0000,1,
13,test,2021-08-06,2021-08-10,300,Omicron_BA1,True,0.3571,0.2500,0.0000,3,N501Y
13,test,2021-08-06,2021-08-10,300,Lambda,True,0.1667,0.0000,0.0000,1,
13,test,2021-08-06,2021-08-10,300,Mu,False,0.5556,0.2222,0.5367,3,E484K;N501Y
14,test,2021-08-10,2021-08-12,298,Gamma,True,1.0000,0.4167,0.3624,7,
14,test,2021-08-10,2021-08-12,298,Zeta,True,1.0000,0.6667,0.3624,1,
14,test,2021-08-10,2021-08-12,298,Alpha,True,0.4286,0.2857,0.0872,1,
14,test,2021-08-10,2021-08-12,298,Beta,True,0.4286,0.2857,0.0000,1,
14,test,2021-08-10,2021-08-12,298,Delta,True,1.0000,0.8333,0.0034,1,
14,test,2021-08-10,2021-08-12,298,Omicron_BA1,True,0.2857,0.2143,0.0000,2,
14,test,2021-08-10,2021-08-12,298,Lambda,True,0.3333,0.1667,0.0000,1,
14,test,2021-08-10,2021-08-12,298,Mu,True,0.6667,0.5556,0.3624,1,
15,test,2021-08-12,2021-08-22,300,Gamma,True,1.0000,0.9167,0.3000,1,
15,test,2021-08-12,2021-08-22,300,Zeta,True,1.0000,0.6667,0.3000,1,
15,test,2021-08-12,2021-08-22,300,Alpha,True,0.7143,0.5714,0.0867,1,
15,test,2021-08-12,2021-08-22,300,Beta,True,0.5714,0.4286,0.0000,1,
15,test,2021-08-12,2021-08-22,300,Delta,True,1.0000,0.5000,0.0100,3,L452R
15,test,2021-08-12,2021-08-22,300,Omicron_BA1,True,0.3571,0.3214,0.0000,1,
15,test,2021-08-12,2021-08-22,300,Lambda,True,0.3333,0.1667,0.0000,1,
15,test,2021-08-12,2021-08-22,300,Mu,True,0.6667,0.5556,0.3000,1,
16,test,2021-08-23,2021-09-01,299,Gamma,True,1.0000,0.8333,0.4515,2,
16,test,2021-08-23,2021-09-01,299,Zeta,True,1.0000,1.0000,0.4515,0,
16,test,2021-08-23,2021-09-01,299,Alpha,True,0.5714,0.4286,0.1237,1,
16,test,2021-08-23,2021-09-01,299,Beta,True,0.4286,0.4286,0.0000,0,
16,test,2021-08-23,2021-09-01,299,Delta,True,0.6667,0.5000,0.0000,1,
16,test,2021-08-23,2021-09-01,299,Omicron_BA1,True,0.2857,0.2857,0.0000,0,
16,test,2021-08-23,2021-09-01,299,Lambda,True,0.3333,0.3333,0.0000,0,
16,test,2021-08-23,2021-09-01,299,Mu,True,0.5556,0.5556,0.4515,0,
17,test,2021-09-01,2021-09-04,297,Gamma,True,1.0000,0.7500,0.0842,3,N501Y
17,test,2021-09-01,2021-09-04,297,Zeta,True,1.0000,0.6667,0.0875,1,
17,test,2021-09-01,2021-09-04,297,Alpha,False,0.5714,0.1429,0.0370,3,N501Y;P681H
17,test,2021-09-01,2021-09-04,297,Beta,True,0.4286,0.1429,0.0000,2,N501Y
17,test,2021-09-01,2021-09-04,297,Delta,True,0.6667,0.5000,0.0000,1,
17,test,2021-09-01,2021-09-04,297,Omicron_BA1,True,0.4286,0.2857,0.0000,4,N501Y
17,test,2021-09-01,2021-09-04,297,Lambda,True,0.5000,0.3333,0.0000,1,
17,test,2021-09-01,2021-09-04,297,Mu,True,0.5556,0.2222,0.0875,3,N501Y
18,test,2021-09-04,2021-09-08,298,Gamma,True,1.0000,1.0000,0.1007,0,
18,test,2021-09-04,2021-09-08,298,Zeta,True,1.0000,1.0000,0.1007,0,
18,test,2021-09-04,2021-09-08,298,Alpha,True,0.5714,0.5714,0.0235,0,
18,test,2021-09-04,2021-09-08,298,Beta,True,0.4286,0.4286,0.0000,0,
18,test,2021-09-04,2021-09-08,298,Delta,True,0.8333,0.3333,0.0000,3,L452R
18,test,2021-09-04,2021-09-08,298,Omicron_BA1,True,0.2500,0.2143,0.0000,1,S375F
18,test,2021-09-04,2021-09-08,298,Lambda,True,0.3333,0.3333,0.0000,0,
18,test,2021-09-04,2021-09-08,298,Mu,True,0.7778,0.7778,0.1007,0,
19,test,2021-09-08,2021-09-11,300,Gamma,True,1.0000,1.0000,0.0933,0,
19,test,2021-09-08,2021-09-11,300,Zeta,True,1.0000,1.0000,0.0933,0,
19,test,2021-09-08,2021-09-11,300,Alpha,True,0.7143,0.7143,0.0233,0,
19,test,2021-09-08,2021-09-11,300,Beta,True,0.7143,0.7143,0.0000,0,
19,test,2021-09-08,2021-09-11,300,Delta,True,0.6667,0.1667,0.0000,3,L452R
19,test,2021-09-08,2021-09-11,300,Omicron_BA1,True,0.3571,0.3214,0.0000,1,S375F
19,test,2021-09-08,2021-09-11,300,Lambda,True,0.3333,0.3333,0.0000,0,
19,test,2021-09-08,2021-09-11,300,Mu,True,0.5556,0.5556,0.0933,0,
20,test,2021-09-11,2021-09-14,292,Gamma,True,1.0000,1.0000,0.0822,0,
20,test,2021-09-11,2021-09-14,292,Zeta,True,1.0000,1.0000,0.0822,0,
20,test,2021-09-11,2021-09-14,292,Alpha,True,0.5714,0.5714,0.0377,0,
