gid,split,date_min,date_max,n_leaves,voc_id,prospective,exact_recall,acquired_recall,bundle_frac,root_n_sig,root_bundle
38,test,2022-01-21,2022-01-28,299,Alpha,True,0.0000,0.0000,0.0000,0,
38,test,2022-01-21,2022-01-28,299,Beta,True,0.0000,0.0000,0.0000,0,
38,test,2022-01-21,2022-01-28,299,Delta,True,0.5000,0.0000,0.0000,1,
38,test,2022-01-21,2022-01-28,299,Omicron_BA1,True,0.1071,0.0357,0.0000,1,
38,test,2022-01-21,2022-01-28,299,Lambda,True,0.1667,0.0000,0.0000,0,
38,test,2022-01-21,2022-01-28,299,Mu,True,0.1111,0.1111,0.0000,0,
39,test,2022-01-28,2023-01-01,300,Gamma,True,0.5833,0.2500,0.0000,0,
39,test,2022-01-28,2023-01-01,300,Zeta,True,0.6667,0.0000,0.0000,0,
39,test,2022-01-28,2023-01-01,300,Alpha,True,0.4286,0.0000,0.0067,0,
39,test,2022-01-28,2023-01-01,300,Beta,True,0.4286,0.0000,0.0000,0,
39,test,2022-01-28,2023-01-01,300,Delta,True,0.6667,0.0000,0.0000,0,
39,test,2022-01-28,2023-01-01,300,Omicron_BA1,True,0.5714,0.0714,0.0000,0,
39,test,2022-01-28,2023-01-01,300,Lambda,True,0.3333,0.0000,0.0000,0,
39,test,2022-01-28,2023-01-01,300,Mu,True,0.6667,0.2222,0.0000,0,
40,test,2023-01-01,2025-09-09,207,Gamma,True,0.3333,0.3333,0.0000,0,
40,test,2023-01-01,2025-09-09,207,Zeta,True,0.3333,0.3333,0.0000,0,
40,test,2023-01-01,2025-09-09,207,Alpha,True,0.7143,0.4286,0.0048,2,
40,test,2023-01-01,2025-09-09,207,Beta,True,0.8571,0.5714,0.0000,2,
40,test,2023-01-01,2025-09-09,207,Delta,True,1.0000,0.8333,0.0000,1,
40,test,2023-01-01,2025-09-09,207,Omicron_BA1,True,0.5714,0.5000,0.0000,2,N440K;S477N
40,test,2023-01-01,2025-09-09,207,Lambda,True,0.3333,0.1667,0.0000,1,F490S
40,test,2023-01-01,2025-09-09,207,Mu,True,0.7778,0.6667,0.0000,1,
