k,tp,n_lit,precision,recall,f1,hit_positions,missed_positions
16,0,16,0.0,0.0,0.0,,212;222;369;417;439;452;453;477;478;484;496;501;547;614;856;981
32,0,16,0.0,0.0,0.0,,212;222;369;417;439;452;453;477;478;484;496;501;547;614;856;981
64,1,16,0.015625,0.0625,0.025,369,212;222;417;439;452;453;477;478;484;496;501;547;614;856;981
96,2,16,0.020833333333333332,0.125,0.03571428571428571,212;369,222;417;439;452;453;477;478;484;496;501;547;614;856;981
192,2,16,0.010416666666666666,0.125,0.019230769230769232,212;369,222;417;439;452;453;477;478;484;496;501;547;614;856;981
