name,date
"EPI_ISL_164239,2014-04-15",2000-01-01
"EPI_ISL_164236,2014-03-11",2000-01-01
"EPI_ISL_164237,2014-03-06",2000-01-01
"EPI_ISL_164242,2013-12-20",2000-01-01
"EPI_ISL_164243,2014-03-24",2000-01-01
"EPI_ISL_164240,2014-02-03",2000-01-01
"EPI_ISL_164241,2014-03-26",2000-01-01
"EPI_ISL_164246,2014-04-14",2000-01-01
"EPI_ISL_164247,2013-01-18",2000-01-01
"EPI_ISL_164244,2014-03-18",2000-01-01
"EPI_ISL_164245,2014-03-25",2000-01-01
"EPI_ISL_164250,2014-03-20",2000-01-01
"EPI_ISL_164251,2014-03-27",2000-01-01
"EPI_ISL_164248,2013-01-11",2000-01-01
"EPI_ISL_164249,2014-02-24",2000-01-01
"EPI_ISL_164254,2014-01-17",2000-01-01
"EPI_ISL_98717,2011-10-19",2000-01-01
"EPI_ISL_164255,2014-02-10",2000-01-01
"EPI_ISL_164252,2014-04-02",2000-01-01
"EPI_ISL_164253,2014-01-17",2000-01-01
"EPI_ISL_164258,2014-02-28",2000-01-01
"EPI_ISL_164259,2014-02-24",2000-01-01
"EPI_ISL_164256,2014-02-14",2000-01-01
"EPI_ISL_164257,2014-02-19",2000-01-01
"EPI_ISL_164262,2014-02-14",2000-01-01
"EPI_ISL_164263,2014-02-17",2000-01-01
"EPI_ISL_164260,2014-02-21",2000-01-01
"EPI_ISL_164261,2014-02-19",2000-01-01
"EPI_ISL_164264,2014-02-13",2000-01-01
"EPI_ISL_164265,2014-03-20",2000-01-01
"EPI_ISL_164290,2014-03-02",2000-01-01
"EPI_ISL_164291,2014-02-18",2000-01-01
"EPI_ISL_164288,2013-11-19",2000-01-01
"EPI_ISL_164289,2014-02-12",2000-01-01
"EPI_ISL_164294,2014-02-05",2000-01-01
"EPI_ISL_164295,2014-04-02",2000-01-01
"EPI_ISL_164292,2014-02-03",2000-01-01
"EPI_ISL_164293,2014-02-10",2000-01-01
"EPI_ISL_164298,2014-04-04",2000-01-01
"EPI_ISL_164299,2014-03-28",2000-01-01
"EPI_ISL_164296,2014-03-10",2000-01-01
"EPI_ISL_164297,2014-03-11",2000-01-01
"EPI_ISL_164302,2014-04-08",2000-01-01
"EPI_ISL_164303,2014-03-19",2000-01-01
"EPI_ISL_164301,2014-04-02",2000-01-01
"EPI_ISL_393686,2011-10-19",2000-01-01
"EPI_ISL_164306,2014-03-25",2000-01-01
"EPI_ISL_393687,2011-10-24",2000-01-01
"EPI_ISL_164307,2014-04-02",2000-01-01
"EPI_ISL_393684,2009-09-19",2000-01-01
"EPI_ISL_164304,2014-03-26",2000-01-01
"EPI_ISL_393685,2009-09-19",2000-01-01
"EPI_ISL_164305,2014-03-29",2000-01-01
"EPI_ISL_393682,2009-08-17",2000-01-01
"EPI_ISL_164308,2014-04-07",2000-01-01
"EPI_ISL_164309,2014-03-17",2000-01-01
"EPI_ISL_393694,2012-11-24",2000-01-01
"EPI_ISL_393692,2012-11-01",2000-01-01
"EPI_ISL_393693,2012-11-10",2000-01-01
"EPI_ISL_393690,2011-11-27",2000-01-01
"EPI_ISL_393691,2012-10-20",2000-01-01
"EPI_ISL_393688,2011-11-04",2000-01-01
"EPI_ISL_393689,2011-11-08",2000-01-01
"EPI_ISL_393700,2010-08-05",2000-01-01
"EPI_ISL_393698,2012-11-29",2000-01-01
"EPI_ISL_393699,2012-12-08",2000-01-01
"EPI_ISL_393708,2014-06-10",2000-01-01
"EPI_ISL_393709,2014-06-27",2000-01-01
"EPI_ISL_393706,2012-11-25",2000-01-01
"EPI_ISL_98819,2011-07-31",2000-01-01
"EPI_ISL_98818,2011-10-02",2000-01-01
"EPI_ISL_98821,2011-08-31",2000-01-01
"EPI_ISL_98820,2011-10-02",2000-01-01
"EPI_ISL_98823,2011-10-02",2000-01-01
"EPI_ISL_98822,2011-07-27",2000-01-01
"EPI_ISL_98825,2011-08-30",2000-01-01
"EPI_ISL_98824,2011-08-25",2000-01-01
"EPI_ISL_98827,2011-10-03",2000-01-01
"EPI_ISL_98826,2011-08-22",2000-01-01
"EPI_ISL_98829,2011-09-23",2000-01-01
"EPI_ISL_98828,2011-08-11",2000-01-01
"EPI_ISL_66079,2009-04-01",2000-01-01
"EPI_ISL_66083,2009-02-01",2000-01-01
"EPI_ISL_66084,2009-02-01",2000-01-01
"EPI_ISL_66086,2009-03-01",2000-01-01
"EPI_ISL_98857,2011-10-03",2000-01-01
"EPI_ISL_66089,2009-03-01",2000-01-01
"EPI_ISL_98859,2009-06-01",2000-01-01
"EPI_ISL_98858,2011-10-10",2000-01-01
"EPI_ISL_98861,2009-06-07",2000-01-01
"EPI_ISL_164399,2014-03-11",2000-01-01
"EPI_ISL_98860,2010-01-26",2000-01-01
"EPI_ISL_164402,2014-01-16",2000-01-01
"EPI_ISL_164403,2014-03-11",2000-01-01
"EPI_ISL_164400,2013-12-27",2000-01-01
"EPI_ISL_164401,2012-04-15",2000-01-01
"EPI_ISL_164406,2013-12-29",2000-01-01
"EPI_ISL_164407,2014-04-05",2000-01-01
"EPI_ISL_164404,2014-03-26",2000-01-01
"EPI_ISL_164405,2012-10-20",2000-01-01
"EPI_ISL_164410,2014-03-26",2000-01-01
"EPI_ISL_164411,2014-02-14",2000-01-01
"EPI_ISL_164408,2014-04-05",2000-01-01
"EPI_ISL_164409,2014-02-04",2000-01-01
"EPI_ISL_164414,2014-05-13",2000-01-01
"EPI_ISL_164415,2014-05-13",2000-01-01
"EPI_ISL_164412,2014-04-08",2000-01-01
"EPI_ISL_164413,2014-04-07",2000-01-01
"EPI_ISL_164418,2014-03-11",2000-01-01
"EPI_ISL_164419,2014-06-09",2000-01-01
"EPI_ISL_164416,2014-05-26",2000-01-01
"EPI_ISL_164417,2014-05-11",2000-01-01
"EPI_ISL_164422,2014-04-14",2000-01-01
"EPI_ISL_164423,2014-02-20",2000-01-01
"EPI_ISL_164420,2014-01-21",2000-01-01
"EPI_ISL_164421,2014-04-16",2000-01-01
"EPI_ISL_164426,2014-03-21",2000-01-01
"EPI_ISL_164427,2014-03-18",2000-01-01
"EPI_ISL_164424,2014-02-22",2000-01-01
"EPI_ISL_164425,2014-03-19",2000-01-01
"EPI_ISL_164430,2014-02-04",2000-01-01
"EPI_ISL_164431,2014-05-06",2000-01-01
"EPI_ISL_164428,2014-04-18",2000-01-01
"EPI_ISL_164429,2014-01-11",2000-01-01
"EPI_ISL_164434,2014-05-16",2000-01-01
"EPI_ISL_164432,2014-03-04",2000-01-01
"EPI_ISL_164433,2014-03-29",2000-01-01
"EPI_ISL_164438,2014-03-27",2000-01-01
"EPI_ISL_164439,2014-04-15",2000-01-01
"EPI_ISL_164436,2014-03-09",2000-01-01
"EPI_ISL_164437,2014-03-10",2000-01-01
"EPI_ISL_164442,2014-04-07",2000-01-01
"EPI_ISL_164440,2014-05-29",2000-01-01
"EPI_ISL_164441,2014-06-09",2000-01-01
"EPI_ISL_131687,2009-12-01",2000-01-01
"EPI_ISL_66165,2009-06-23",2000-01-01
"EPI_ISL_66164,2009-06-22",2000-01-01
"EPI_ISL_66166,2009-06-13",2000-01-01
"EPI_ISL_66169,2009-07-11",2000-01-01
"EPI_ISL_66170,2009-07-11",2000-01-01
"EPI_ISL_66175,2008-01-01",2000-01-01
"EPI_ISL_66174,2008-01-01",2000-01-01
"EPI_ISL_98945,2010-01-01",2000-01-01
"EPI_ISL_98944,2010-01-01",2000-01-01
"EPI_ISL_66176,2008-01-01",2000-01-01
"EPI_ISL_18285461,2013-02-13",2000-01-01
"EPI_ISL_98947,2007-03-06",2000-01-01
"EPI_ISL_98946,2007-03-06",2000-01-01
"EPI_ISL_98949,2007-07-25",2000-01-01
"EPI_ISL_98948,2007-04-09",2000-01-01
"EPI_ISL_98951,2007-01-01",2000-01-01
"EPI_ISL_98950,2007-01-01",2000-01-01
"EPI_ISL_98953,2007-09-18",2000-01-01
"EPI_ISL_98952,2007-08-04",2000-01-01
"EPI_ISL_98955,2009-05-26",2000-01-01
"EPI_ISL_98954,2009-05-26",2000-01-01
"EPI_ISL_98957,2009-05-25",2000-01-01
"EPI_ISL_98956,2009-05-25",2000-01-01
"EPI_ISL_98959,2009-06-02",2000-01-01
"EPI_ISL_98958,2009-06-02",2000-01-01
"EPI_ISL_98961,2009-06-07",2000-01-01
"EPI_ISL_98960,2009-06-07",2000-01-01
"EPI_ISL_98963,2009-07-01",2000-01-01
"EPI_ISL_98962,2009-07-01",2000-01-01
"EPI_ISL_98965,2009-06-07",2000-01-01
"EPI_ISL_98964,2009-06-07",2000-01-01
"EPI_ISL_98967,2009-06-15",2000-01-01
"EPI_ISL_98966,2009-06-15",2000-01-01
"EPI_ISL_164506,2014-06-12",2000-01-01
"EPI_ISL_98969,2009-01-01",2000-01-01
"EPI_ISL_164507,2014-06-03",2000-01-01
"EPI_ISL_98968,2009-03-18",2000-01-01
"EPI_ISL_164504,2014-06-16",2000-01-01
"EPI_ISL_98971,2008-12-12",2000-01-01
"EPI_ISL_164505,2014-06-11",2000-01-01
"EPI_ISL_98970,2009-01-01",2000-01-01
"EPI_ISL_164510,2014-06-07",2000-01-01
"EPI_ISL_98973,2008-10-29",2000-01-01
"EPI_ISL_164511,2014-06-25",2000-01-01
"EPI_ISL_98972,2008-12-29",2000-01-01
"EPI_ISL_164508,2014-06-07",2000-01-01
