name,date
KP458955.1,2005-03-08
CY106154.1,2005-XX-XX
CY106155.1,2005-XX-XX
CY106156.1,2005-XX-XX
CY106157.1,2005-XX-XX
CY106158.1,2005-XX-XX
CY106159.1,2005-XX-XX
CY106160.1,2005-XX-XX
CY106161.1,2005-XX-XX
CY106162.1,2005-XX-XX
CY106163.1,2005-XX-XX
CY106164.1,2005-XX-XX
CY106165.1,2005-XX-XX
CY106166.1,2005-XX-XX
CY106167.1,2005-XX-XX
CY106168.1,2005-XX-XX
KP458148.1,2005-08-24
KP458010.1,2005-10-05
KP458956.1,2006-06-04
KP456210.1,2006-06-20
KP456634.1,2006-XX-XX
KP457157.1,2006-XX-XX
KP457417.1,2006-XX-XX
KP457624.1,2006-XX-XX
KP458068.1,2006-XX-XX
KP458765.1,2006-XX-XX
KP459285.1,2006-XX-XX
CY106169.1,2006-XX-XX
CY106170.1,2006-XX-XX
CY106171.1,2006-XX-XX
CY106172.1,2006-XX-XX
CY106173.1,2006-XX-XX
CY106174.1,2006-XX-XX
CY106175.1,2006-XX-XX
CY106176.1,2006-XX-XX
CY106177.1,2006-XX-XX
CY106178.1,2006-XX-XX
CY106179.1,2006-XX-XX
CY106180.1,2007-XX-XX
CY106181.1,2007-XX-XX
CY106182.1,2007-XX-XX
CY106183.1,2007-XX-XX
CY106184.1,2007-XX-XX
CY106185.1,2007-XX-XX
CY106186.1,2007-XX-XX
CY106187.1,2007-XX-XX
CY106188.1,2007-XX-XX
CY106189.1,2007-XX-XX
CY106190.1,2007-XX-XX
KP456404.1,2008-06-XX
CY063704.1,2008-06-XX
KP456612.1,2008-07-XX
KP456635.1,2008-07-XX
KP457215.1,2008-07-XX
KP457576.1,2008-07-XX
KP458162.1,2008-07-XX
KP458633.1,2008-07-XX
KP459060.1,2008-07-XX
KP459275.1,2008-07-XX
CY106191.1,2008-XX-XX
CY106193.1,2008-XX-XX
CY106194.1,2008-XX-XX
CY106195.1,2008-XX-XX
CY106196.1,2008-XX-XX
CY106197.1,2008-XX-XX
CY106198.1,2008-XX-XX
CY106199.1,2008-XX-XX
CY106200.1,2008-XX-XX
CY106201.1,2008-XX-XX
CY106202.1,2008-XX-XX
CY106203.1,2008-XX-XX
CY106204.1,2008-XX-XX
CY106205.1,2008-XX-XX
CY106206.1,2008-XX-XX
CY106207.1,2008-XX-XX
CY106208.1,2008-XX-XX
CY063707.1,2008-07-XX
CY063710.1,2008-07-XX
CY063713.1,2008-07-XX
CY063716.1,2008-07-XX
CY063719.1,2008-07-XX
CY063722.1,2008-07-XX
CY063725.1,2008-07-XX
CY063728.1,2008-07-XX
CY063731.1,2008-07-XX
CY063734.1,2008-07-XX
CY063737.1,2008-07-XX
KP457093.1,2008-08-XX
CY063740.1,2008-08-XX
CY064279.1,2009-01-XX
KP456724.1,2009-02-XX
KP457637.1,2009-02-XX
KP458082.1,2009-02-XX
KP458505.1,2009-02-XX
KP458770.1,2009-02-XX
KP458901.1,2009-02-XX
CY064255.1,2009-02-XX
CY064258.1,2009-02-XX
CY064261.1,2009-02-XX
CY064264.1,2009-02-XX
CY064267.1,2009-02-XX
CY064270.1,2009-02-XX
KP456529.1,2009-02-18
KP456913.1,2009-03-04
KP457128.1,2009-03-13
CY064273.1,2009-03-XX
CY064276.1,2009-03-XX
CY064324.1,2009-03-XX
KP457613.1,2009-03-30
KP457590.1,2009-04-01
KP456921.1,2009-04-14
CY064282.1,2009-04-XX
CY064285.1,2009-04-XX
CY064288.1,2009-04-XX
CY064291.1,2009-04-XX
CY064294.1,2009-04-XX
CY064297.1,2009-04-XX
CY064300.1,2009-04-XX
CY064303.1,2009-04-XX
CY064306.1,2009-04-XX
CY064309.1,2009-04-XX
CY064327.1,2009-04-XX
CY064330.1,2009-04-XX
CY064333.1,2009-04-XX
CY064312.1,2009-05-XX
CY064315.1,2009-05-XX
CY064318.1,2009-05-XX
CY064321.1,2009-05-XX
CY064336.1,2009-05-XX
CY064339.1,2009-05-XX
CY064342.1,2009-05-XX
CY064345.1,2009-05-XX
CY064348.1,2009-05-XX
CY064351.1,2009-05-XX
CY064360.1,2009-05-XX
GQ268003.2,2009-05-18
CY064791.1,2009-05-28
KP457894.1,2009-06-11
CY064354.1,2009-06-XX
CY064357.1,2009-06-XX
CY064363.1,2009-06-XX
CY064366.1,2009-06-XX
CY064369.1,2009-06-XX
CY103906.1,2009-XX-XX
CY064372.1,2009-07-XX
CY064375.1,2009-07-XX
CY064378.1,2009-07-XX
CY064381.1,2009-07-XX
CY064384.1,2009-07-XX
CY064249.1,2009-08-XX
CY064252.1,2009-08-XX
CY064387.1,2009-08-XX
KP459055.1,2009-09-08
CY064458.1,2009-10-20
CY064430.1,2009-11-17
CY064426.1,2009-11-18
CY058830.1,2009-11-18
CY064428.1,2009-11-19
CY064434.1,2009-11-19
CY064436.1,2009-11-19
CY064442.1,2009-11-19
CY064452.1,2009-11-19
CY064422.1,2009-11-20
CY064438.1,2009-11-20
CY064440.1,2009-11-20
CY064444.1,2009-11-20
CY064454.1,2009-11-20
CY064424.1,2009-11-21
CY064450.1,2009-11-21
CY058826.1,2009-11-21
CY064446.1,2009-11-22
CY064448.1,2009-11-22
CY058820.1,2009-11-22
CY058822.1,2009-11-23
CY058834.1,2009-11-23
CY064432.1,2009-11-24
CY058828.1,2009-11-24
CY058824.1,2009-11-25
CY058836.1,2009-11-25
CY064456.1,2009-11-27
CY058832.1,2009-11-27
CY080253.1,2009-12-13
