name,date
CY189385.1,2014-02-26
KT836771.1,2015-02-26
MK615223.1,2014-10-20
KT836512.1,2014-10-28
KT836476.1,2014-12-02
KM409274.1,2014-03-09
MK615543.1,2014-12-19
CY187719.2,2014-03-06
KT880115.1,2014-11-07
CY189409.1,2014-03-06
KM409373.1,2014-03-11
KT836443.1,2014-12-09
KT836905.1,2015-03-14
KM409160.1,2014-03-10
KT274327.1,2014-04-09
KT836435.1,2014-12-02
KU509695.1,2015-07-23
KU509919.1,2015-10-12
KT836860.1,2015-01-04
KM409187.1,2014-04-18
KT836661.1,2015-08-06
MT649685.1,2014-XX-XX
KU509601.1,2015-10-13
KT836823.1,2015-04-13
KM409406.1,2014-04-02
KT836762.1,2015-03-23
KT836523.1,2014-10-18
MK615247.1,2014-10-20
KT836840.1,2015-04-02
MK615479.1,2014-12-05
KU589419.1,2015-XX-XX
KT836759.1,2015-03-01
KU509558.1,2015-08-13
KT274606.1,2014-03-08
KT274215.1,2014-08-09
KX002295.1,2015-01-28
MK615591.1,2014-XX-XX
KT836572.1,2015-08-05
MK615519.1,2014-12-19
MK615383.1,2014-11-15
KT274271.1,2014-03-09
KT274528.1,2014-03-01
KM409253.1,2014-03-01
KM409403.1,2014-03-19
KM409388.1,2014-03-18
