k,tp,n_lit,precision,recall,f1,hit_positions,missed_positions
9,2,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,145;225,155;156;158;159;183;189;193
16,3,9,0.1875,0.3333333333333333,0.24000000000000005,145;159;225,155;156;158;183;189;193
32,6,9,0.1875,0.6666666666666666,0.29268292682926833,145;158;159;189;193;225,155;156;183
64,8,9,0.125,0.8888888888888888,0.2191780821917808,145;155;156;158;159;189;193;225,183
85,8,9,0.09411764705882353,0.8888888888888888,0.1702127659574468,145;155;156;158;159;189;193;225,183
96,8,9,0.08333333333333333,0.8888888888888888,0.15238095238095237,145;155;156;158;159;189;193;225,183
