name,date
KP457732.1,2008-08-04
HQ595291.1,2010-03-31
HQ595299.1,2010-07-01
HQ595241.1,2009-07-30
KY925840.1,2009-08-13
GU351871.1,2006-06-29
KY925200.1,2009-07-31
HQ595287.1,2009-10-23
GQ915021.1,2009-08-02
KC967084.1,2009-07-26
CY103921.1,2009-08-21
KY926117.1,2009-08-13
HQ595281.1,2009-09-02
HQ595261.1,2009-08-24
KY935468.1,2009-08-10
CY103939.1,2010-03-06
MG785397.1,2009-XX-XX
KF700932.1,2009-07-27
CY054280.1,2009-07-28
GQ368667.1,2009-06-05
HQ595264.1,2009-08-24
CY103911.1,2009-07-17
KY925045.1,2009-08-14
KC967085.1,2009-08-11
HQ595288.1,2009-10-25
CY052050.1,2009-07-20
HQ595240.1,2009-07-30
HQ595243.1,2009-07-31
HM601436.1,2010-01-29
HQ595292.1,2010-05-03
HQ595250.1,2009-08-12
GQ414768.1,2009-07-03
KY925327.1,2009-08-15
GQ368665.1,2009-05-28
GQ915023.1,2009-08-05
HQ595266.1,2009-08-27
KP458231.1,2008-04-28
CY103912.1,2009-07-23
KY924993.1,2009-09-10
HQ595279.1,2009-09-01
CY060445.1,2009-09-05
MG785401.1,2009-08-31
CY072082.1,2010-03-02
GQ915022.1,2009-08-01
CY103916.1,2009-08-05
MG785405.1,2009-08-06
CY103919.1,2009-09-24
CY120731.1,2009-09-16
HQ595262.1,2009-08-21
KF700930.1,2009-08-17
GQ915024.1,2009-08-05
MG784977.1,2009-11-10
KY925011.1,2009-08-17
CY072078.1,2010-03-22
CY052046.1,2009-07-02
HM624017.1,2010-03-26
HQ595289.1,2010-01-13
HQ595297.1,2010-06-18
CY072081.1,2010-03-31
CY103917.1,2009-08-09
GQ414765.1,2009-05-29
KF700937.1,2009-06-12
GQ356787.1,2009-06-01
GQ368664.1,2009-05-27
CY079530.1,2010-03-26
HQ595252.1,2009-08-13
CY103915.1,2009-08-05
HQ595247.1,2009-08-10
HQ595260.1,2009-08-25
KY925216.1,2009-08-13
MG785404.1,2009-07-31
KC967088.1,2009-07-27
HQ595270.1,2009-08-28
HQ595244.1,2009-08-01
HM624016.1,2010-02-26
HQ595276.1,2009-08-29
CY060451.1,2009-08-02
HQ595236.1,2009-07-28
CY103914.1,2009-08-05
CY072089.1,2010-03-04
HQ595265.1,2009-08-28
CY103934.1,2009-09-24
KF700936.1,2009-07-23
CY103940.1,2010-04-15
CY120763.1,2009-XX-XX
KF700939.1,2009-06-12
MG785400.1,2009-07-31
CY072076.1,2010-03-15
CY072079.1,2010-03-24
KJ417955.1,2009-06-11
CY103924.1,2009-08-27
KY925845.1,2009-07-30
CY052048.1,2009-07-18
KJ417954.1,2009-05-25
CY103935.1,2009-10-03
KP456700.1,2008-05-29
KY925956.1,2009-08-23
KJ417958.1,2009-06-22
CY052045.1,2009-06-30
CY072074.1,2010-03-05
HQ595280.1,2009-09-01
CY103937.1,2009-11-04
CY103938.1,2010-01-14
GQ414764.1,2009-05-20
KF700940.1,2009-06-12
HQ595232.1,2009-08-12
HQ595283.1,2009-09-24
HQ595254.1,2009-08-18
CY103931.1,2009-09-18
KP456298.1,2008-06-06
CY103927.1,2009-09-03
HQ595237.1,2009-07-27
HQ595263.1,2009-08-25
KP456212.1,2008-07-28
GQ915020.1,2009-08-01
HQ595296.1,2010-06-17
HQ595273.1,2009-08-28
HQ595255.1,2009-08-21
HQ595274.1,2009-08-29
CY052350.1,2009-06-10
CY120715.1,2009-08-12
HQ595268.1,2009-08-27
CY052348.1,2009-07-29
CY054282.1,2009-07-29
CY060446.1,2009-08-22
HQ595235.1,2009-07-28
KJ417956.1,2009-06-12
KP458151.1,2008-07-28
CY052044.1,2009-04-24
CY072080.1,2010-03-26
HQ595249.1,2009-08-11
CY054281.1,2009-08-10
CY103936.1,2009-06-29
CY060444.1,2009-08-18
KY926119.1,2009-08-05
HQ595246.1,2009-08-03
HM624015.1,2010-03-08
HQ595253.1,2009-08-13
CY052047.1,2009-05-24
KC967090.1,2009-07-27
GQ915025.1,2009-08-09
CY103923.1,2009-06-27
CY079529.1,2010-05-17
CY103929.1,2009-09-11
HQ595267.1,2009-08-28
CY052349.1,2009-06-01
KY925404.1,2009-07-31
KC967086.1,2009-07-15
KY925199.1,2009-08-12
HQ595248.1,2009-08-11
HQ595251.1,2009-08-14
KC967087.1,2009-07-23
HQ595277.1,2009-08-30
CY103941.1,2009-07-02
HQ595275.1,2009-08-28
KC967089.1,2009-07-29
KF700931.1,2009-07-24
HQ595233.1,2009-08-11
HQ595293.1,2010-05-21
CY060450.1,2009-08-04
CY072085.1,2010-03-19
KY926399.1,2009-08-14
MG784980.1,2009-08-11
HQ595269.1,2009-08-28
HQ595282.1,2009-09-24
HQ595271.1,2009-08-28
CY072083.1,2010-03-05
KY925375.1,2009-08-17
KY926268.1,2009-08-31
KY925715.1,2009-09-02
KY925593.1,2009-08-20
HQ595256.1,2009-08-25
CY103930.1,2009-09-12
KP457042.1,2008-03-10
HQ595298.1,2010-06-19
MG785398.1,2009-08-01
CY060447.1,2009-08-24
CY072088.1,2010-02-18
MG785402.1,2009-08-20
CY052049.1,2009-07-20
KY925861.1,2009-08-20
CY072087.1,2010-04-01
CY072084.1,2010-03-19
KY925947.1,2009-07-30
CY103918.1,2009-08-11
KY925687.1,2009-08-14
GQ414766.1,2009-05-29
HQ595239.1,2009-07-29
CY072086.1,2010-03-19
CY052346.1,2009-07-12
HQ595257.1,2009-08-26
KF700934.1,2009-07-31
CY079532.1,2010-05-11
CY103926.1,2009-08-28
KY926278.1,2009-09-18
HQ595245.1,2009-08-03
HQ595295.1,2010-06-14
KJ417960.1,2009-08-05
HQ595234.1,2009-07-27
HQ595259.1,2009-08-26
KJ417959.1,2009-08-05
CY079531.1,2010-04-19
KP457801.1,2006-06-29
HQ595272.1,2009-08-28
CY120723.1,2009-08-13
CY103922.1,2009-08-20
CY103928.1,2009-09-04
HQ595238.1,2009-07-29
MG784981.1,2009-08-14
KF700933.1,2009-07-30
HQ595285.1,2009-10-19
MG785403.1,2009-08-10
CY120739.1,2009-07-31
CY052351.1,2009-06-11
KF700938.1,2009-06-12
CY072075.1,2010-03-10
KF918355.1,2006-06-28
KY925641.1,2009-08-12
CY052347.1,2009-07-23
KY925117.1,2009-08-19
KY925530.1,2009-10-28
CY060448.1,2009-07-23
