name,date
MN636372.1,2016-11-12
MG982601.1,2016-02-29
PZ152158.1,2017-01-10
KU937946.1,2014-10-15
MG982608.1,2016-01-03
KY273041.1,2016-02-15
KU937947.1,2014-11-23
MN636373.1,2016-11-13
KJ484577.1,2014-01-22
MN636377.1,2016-11-18
MW571092.1,2017-04-XX
KY273037.1,2016-01-22
MZ303892.1,2017-11-27
KY888636.1,2015-12-31
KM006401.1,2014-01-27
KY273035.1,2015-05-16
KY888631.1,2014-12-31
KM006399.1,2014-01-06
MN636395.1,2017-11-01
KM006413.1,2014-01-10
MG982594.1,2014-01-25
KY273048.1,2016-04-06
KY648950.1,2016-03-01
KU710477.1,2014-01-20
MT540611.1,2016-06-08
KM006420.1,2014-01-24
KY888632.1,2014-12-31
MN636376.1,2016-11-18
KY888622.1,2014-12-31
MZ303891.1,2017-11-27
KM006380.1,2014-01-13
KM006400.1,2014-01-27
MG982592.1,2014-02-06
KY273044.1,2016-02-24
KY648952.1,2016-03-01
KY648953.1,2016-03-01
MG982612.1,2017-03-04
MG982615.1,2017-04-01
KY273047.1,2016-03-28
MW571091.1,2017-03-XX
KU937948.1,2014-10-19
KU710478.1,2014-02-06
MZ303900.1,2017-11-27
MN636421.1,2016-11-21
MT540633.1,2017-05-13
KY888624.1,2014-12-31
KY273036.1,2015-08-16
MN636381.1,2016-11-21
MT540617.1,2017-05-27
MN636366.1,2016-11-05
MT449174.1,2016-XX-XX
MN636371.1,2016-11-11
MG982599.1,2016-01-07
MT540628.1,2017-05-30
MG982596.1,2014-01-27
MN636380.1,2016-11-20
OP704142.1,2017-11-16
MN636385.1,2016-12-08
OP704141.1,2017-11-27
KY648964.1,2016-03-01
MG982618.1,2017-04-12
KY888613.1,2014-12-31
OP721073.1,2017-12-01
KM006407.1,2014-01-07
KY648960.1,2016-03-01
MT540614.1,2016-07-12
KU710456.1,2014-02-10
MT449175.1,2016-XX-XX
MZ303903.1,2017-11-29
MG982611.1,2017-03-07
MW571089.1,2017-03-XX
MN559728.1,2017-03-21
MT540622.1,2017-05-27
KY648947.1,2016-03-01
KY648961.1,2016-03-01
MT449165.1,2016-XX-XX
MT540607.1,2014-03-01
KM006421.1,2014-01-24
KY648956.1,2016-03-01
KY648954.1,2016-03-01
KM006387.1,2014-01-20
MG982607.1,2016-02-25
MG982595.1,2014-02-03
KM006411.1,2014-01-07
KY888616.1,2014-12-31
MG982605.1,2016-03-15
MN559730.1,2017-03-08
MG982610.1,2017-02-11
MG982597.1,2014-02-05
KM006386.1,2014-01-20
KU937950.1,2014-12-15
KY888620.1,2014-12-31
KY888619.1,2013-12-31
MG572433.1,2016-02-XX
KY273038.1,2016-02-01
MZ303905.1,2017-11-29
KM006404.1,2014-01-29
MN636393.1,2017-11-18
MT658731.1,2015-10-07
KU937952.1,2014-12-25
KY273046.1,2016-03-21
MN636369.1,2016-11-10
KM006391.1,2014-01-27
KJ946415.1,2014-01-03
KY648967.1,2016-03-01
KM006408.1,2014-01-07
KM006405.1,2014-01-06
MN636392.1,2017-11-14
MT540605.1,2014-03-02
KJ484584.1,2014-01-07
MT540612.1,2016-06-09
MG982598.1,2016-01-03
MT449171.1,2016-XX-XX
MG572436.1,2015-12-XX
KM006406.1,2014-01-07
KY888621.1,2013-12-31
MG572437.1,2015-12-XX
MT540618.1,2017-08-16
KU710470.1,2014-01-14
KY888629.1,2013-12-31
MT540608.1,2016-06-07
PZ152159.1,2017-05-02
MW571095.1,2017-06-XX
KM006416.1,2014-01-10
KY648955.1,2016-03-01
KY648946.1,2016-03-01
KM006376.1,2014-01-13
MG982604.1,2016-04-06
MG572439.1,2015-12-XX
MT449176.1,2016-XX-XX
KM006382.1,2013-12-27
MG572430.1,2015-12-XX
MG982617.1,2017-04-06
KY648951.1,2016-03-01
MN636390.1,2017-11-10
KJ484580.1,2014-01-02
MT540613.1,2016-05-04
MN636374.1,2016-11-18
MT540634.1,2017-05-13
KY888625.1,2014-12-31
MG982609.1,2017-02-11
MT540626.1,2017-05-29
MN636386.1,2016-12-15
KM006398.1,2013-12-30
MN636375.1,2016-11-18
KY648948.1,2016-03-01
KM006379.1,2014-01-13
KU710455.1,2014-02-07
MG982593.1,2014-02-06
KJ484583.1,2014-01-03
PZ152161.1,2017-04-24
KY888623.1,2014-12-31
KJ484579.1,2014-01-02
KY888627.1,2014-12-31
MT449170.1,2016-XX-XX
MT540621.1,2017-05-02
KU937949.1,2014-10-23
KM006415.1,2014-01-10
MG982613.1,2017-03-29
MN636370.1,2016-11-11
MT540627.1,2017-05-30
KU710476.1,2014-01-14
KY648958.1,2016-03-01
MN636378.1,2016-11-19
MN636383.1,2016-11-22
KY888615.1,2013-12-31
MG982614.1,2017-03-30
MN636382.1,2016-11-21
KY888637.1,2015-12-31
KM006393.1,2014-01-21
KM006397.1,2013-12-29
MT540615.1,2017-08-16
KM006378.1,2013-12-23
KY888635.1,2013-12-31
MN636391.1,2017-11-12
MT540625.1,2017-09-27
KM006390.1,2014-01-20
MT540630.1,2017-05-08
KM006402.1,2014-01-27
MT540629.1,2017-05-08
KY888634.1,2013-12-31
MN636379.1,2016-11-20
KU937951.1,2014-12-23
KY273049.1,2016-05-17
KY888617.1,2014-12-31
MN559732.1,2017-02-08
KJ484581.1,2014-01-02
MT449173.1,2016-XX-XX
PZ152165.1,2017-11-13
MZ303901.1,2017-11-27
MG982603.1,2016-04-06
KY888628.1,2014-12-31
MG572431.1,2015-12-XX
MG572440.1,2015-12-XX
MG572429.1,2016-01-XX
KM006403.1,2014-01-28
OP721077.1,2017-11-16
MW571093.1,2017-04-XX
MT540623.1,2017-05-28
OP721076.1,2017-11-27
KU710459.1,2014-03-03
MT540620.1,2017-05-13
KU710474.1,2014-01-20
KU710473.1,2014-01-14
MZ303904.1,2017-11-29
KM607860.1,2014-01-10
KY648949.1,2016-03-01
MN636367.1,2016-11-07
MT449169.1,2016-XX-XX
KU710472.1,2014-01-14
MT540632.1,2017-05-13
MN636387.1,2016-12-20
KU710457.1,2014-01-20
MW571094.1,2017-05-XX
KM006381.1,2014-01-03
PZ152162.1,2017-04-24
KP144974.1,2013-12-30
KU710468.1,2013-12-30
KM006418.1,2014-01-24
KY648957.1,2016-03-01
KJ484578.1,2014-01-02
KU710467.1,2013-12-30
KM006395.1,2014-01-06
KM006409.1,2014-01-07
KM006377.1,2013-12-23
KJ484576.1,2013-12-25
MN636368.1,2016-11-10
MT449166.1,2016-XX-XX
KM006422.1,2014-01-13
MN636362.1,2016-11-02
MT540606.1,2014-03-01
KU710469.1,2013-12-27
MN636365.1,2016-11-04
MN636394.1,2017-11-01
MG572434.1,2016-01-XX
KM006385.1,2014-01-24
MN636389.1,2017-11-03
KM006412.1,2014-01-07
MT540619.1,2017-05-28
MW571088.1,2017-03-XX
KY273040.1,2016-02-15
MG982619.1,2017-04-13
KY273039.1,2016-02-11
KU710458.1,2014-02-06
KY273043.1,2016-02-22
KM006383.1,2013-12-27
MG982600.1,2016-02-01
MG572432.1,2016-01-XX
KY888630.1,2014-12-31
KY648959.1,2016-03-01
MZ303902.1,2017-11-29
KY648963.1,2016-03-01
MG572438.1,2015-12-XX
KM006417.1,2014-01-24
MT540624.1,2017-05-28
