name,date
CY063461.1,2009-11-03
CY055350.1,2009-07-17
CY055313.1,2009-05-30
HM625627.1,2009-11-04
CY055370.1,2009-07-25
HM625631.1,2009-11-12
CY055329.1,2009-10-28
HM625635.1,2009-11-15
CY055382.1,2009-12-07
HM625623.1,2009-11-01
CY055315.1,2009-06-01
CY055374.1,2009-12-03
CY055394.1,2009-12-11
CY055383.1,2009-12-07
HM625628.1,2009-11-06
HM625624.1,2009-11-02
CY055326.1,2009-06-19
HM625633.1,2009-11-13
HM625644.1,2009-11-25
CY055412.1,2009-08-14
CY055353.1,2009-07-19
CY055346.1,2009-11-23
HM625638.1,2009-11-20
CY055309.1,2009-05-24
CY055355.1,2009-11-26
CY063466.1,2009-11-09
CY055404.1,2009-08-03
HM625634.1,2009-11-13
CY055322.1,2009-10-28
CY055361.1,2009-07-21
CY063454.1,2009-11-19
HM625625.1,2009-11-04
CY055333.1,2009-06-25
CY055367.1,2009-07-24
CY055376.1,2009-07-27
CY055358.1,2009-07-21
CY055327.1,2009-10-28
CY055340.1,2009-11-22
CY063458.1,2009-10-28
CY055406.1,2009-08-04
CY055364.1,2009-11-30
CY055321.1,2009-06-12
HM625639.1,2009-11-23
CY055331.1,2009-10-29
HM625636.1,2009-11-18
HM625646.1,2009-12-31
CY055342.1,2009-11-23
CY055348.1,2009-07-14
HM625645.1,2009-11-25
HM625643.1,2009-11-24
CY055380.1,2009-12-06
CY055357.1,2009-11-26
CY055344.1,2009-11-23
CY055389.1,2009-12-09
CY055396.1,2009-08-01
CY055314.1,2009-06-01
CY063463.1,2009-11-08
CY055318.1,2009-06-05
CY055408.1,2009-08-08
CY055366.1,2009-07-24
HM625640.1,2009-11-23
CY063465.1,2009-11-09
CY063469.1,2009-11-14
CY055324.1,2009-10-28
CY055362.1,2009-11-28
CY055319.1,2009-06-08
HM625632.1,2009-11-13
CY055372.1,2009-07-26
CY063457.1,2009-10-27
CY055369.1,2009-12-01
CY055360.1,2009-11-27
CY055410.1,2009-08-13
CY063464.1,2009-11-09
CY055385.1,2009-07-28
CY055402.1,2009-12-15
CY055387.1,2009-07-28
CY063462.1,2009-11-30
CY063468.1,2009-11-12
CY055351.1,2009-11-26
HM625622.1,2009-11-01
CY055312.1,2009-05-30
CY055400.1,2009-08-01
CY055339.1,2009-06-29
CY063459.1,2009-10-28
CY055349.1,2009-07-17
HM625626.1,2009-11-04
HM625630.1,2009-11-12
CY055317.1,2009-06-05
CY063460.1,2009-10-31
HM625642.1,2009-11-24
CY055310.1,2009-05-26
CY055414.1,2009-09-08
