name,date
CY216817.1,2016-12-06
CY210963.1,2016-10-07
MN003827.1,2019-04-07
CY261946.1,2017-10-21
MK399240.1,2018-11-12
MK855853.1,2019-02-18
MK715699.1,2019-01-25
CY236283.1,2017-05-21
MK999538.1,2019-03-02
MH125841.1,2018-01-13
MT056003.1,2019-10-05
MT034849.1,2019-11-24
MH079663.1,2018-01-01
MN976474.1,2019-11-12
MK631082.1,2019-01-03
MK773085.1,2019-01-30
CY256389.1,2017-09-03
MK623533.1,2018-12-15
MT058271.1,2019-12-19
MN976451.1,2019-11-05
MT330864.1,2020-01-31
MT582338.1,2019-10-05
MN003817.1,2019-03-28
CY242478.1,2017-07-16
MK557073.1,2018-10-31
MK742950.1,2019-01-07
CY236251.1,2017-04-05
MH245965.1,2018-02-08
MN552843.1,2019-07-25
MN976422.1,2019-09-19
MN083554.1,2019-04-04
MN371769.1,2019-06-07
MH670027.1,2018-04-04
MK475305.1,2018-11-26
MK245798.1,2018-09-11
CY214274.1,2016-12-06
MK475032.1,2018-11-21
MK855845.1,2019-02-14
OR533673.1,2019-09-19
MT622891.1,2020-03-21
CY224230.1,2017-02-24
CY256397.1,2017-09-02
MK743394.1,2019-01-07
MN423011.1,2019-07-07
MH894682.1,2018-07-20
MT241794.1,2019-09-19
MK364425.1,2018-09-28
MN754176.1,2019-09-10
CY209456.1,2016-10-15
MT330880.1,2020-02-05
MN003802.1,2019-03-22
MK364360.1,2018-10-31
MN819691.1,2019-10-10
CY250139.1,2017-09-03
CY238222.1,2017-04-20
MH245973.1,2018-02-09
CY229133.1,2017-03-02
MN229935.1,2019-05-19
MT330896.1,2019-12-31
CY220935.1,2017-01-18
MK292563.1,2018-10-16
MH894525.1,2018-07-20
MK380021.1,2018-10-02
MK623525.1,2018-12-07
MT638700.1,2019-03-20
CY249819.1,2017-08-24
OR552694.1,2019-09-19
MH125818.1,2018-01-03
MN581266.1,2019-05-04
CY244814.1,2017-07-31
MK742949.1,2019-01-05
MT738421.1,2019-10-05
MH245989.1,2018-02-14
MH600230.1,2018-03-13
MK558870.1,2018-09-16
CY233752.1,2016-11-01
MH600247.1,2018-04-05
MG978587.1,2017-10-21
MN160928.1,2019-05-04
MK364631.1,2018-10-20
PQ643972.1,2019-09-19
CY223461.1,2017-01-27
MN318890.1,2019-06-04
CY250412.1,2017-07-16
MG978595.1,2017-11-26
MT499646.1,2020-03-11
MK363967.1,2018-09-16
CY249811.1,2017-08-12
MN552835.1,2019-07-18
MH670035.1,2018-05-10
CY211042.1,2016-10-31
MK381478.1,2018-02-23
MK380024.1,2018-10-01
CY244092.1,2017-01-13
CY236222.1,2017-04-08
MH125827.1,2018-01-05
CY238214.1,2017-03-26
MN229943.1,2019-05-22
CY209464.1,2016-10-07
MG830751.1,2017-10-21
MN754615.1,2019-09-26
MN371777.1,2019-06-13
MK400743.1,2018-03-02
MT034845.1,2019-11-24
CY214266.1,2016-12-06
MT330856.1,2020-01-07
MK743386.1,2018-12-30
MT638724.1,2019-03-18
MN976424.1,2019-10-05
MN423003.1,2019-06-28
MN976458.1,2019-11-05
MK399263.1,2018-10-30
CY244806.1,2017-07-18
MT375722.1,2020-02-20
MK181967.1,2018-09-02
CY244091.1,2017-01-01
CY210955.1,2016-10-15
MK742951.1,2019-01-04
MK380026.1,2018-10-24
CY250147.1,2017-09-02
CY263294.1,2017-11-26
MT375714.1,2020-02-19
MK380022.1,2018-10-04
MN229927.1,2019-05-14
MT241802.1,2019-10-05
MN422998.1,2019-05-19
MT466176.1,2020-03-04
MT499654.1,2020-03-13
CY211050.1,2016-11-01
MK380023.1,2018-10-01
MN947897.1,2019-09-10
MT034857.1,2019-12-04
CY236291.1,2017-05-21
MT105540.1,2019-10-05
MN948210.1,2019-09-19
MK245790.1,2018-09-16
MT330872.1,2020-01-31
MT303344.1,2020-01-23
MH305780.1,2018-02-11
MT303352.1,2020-01-29
MN976445.1,2019-10-22
MK743402.1,2019-01-12
CY231314.1,2017-03-05
MN318882.1,2019-05-28
MN976469.1,2019-11-12
MT330888.1,2020-02-10
MK773093.1,2019-02-13
MN003810.1,2019-03-24
MT244451.1,2020-01-07
MN160912.1,2019-04-17
MT638716.1,2019-03-21
MH305788.1,2018-02-17
MN581274.1,2019-05-14
MN881298.1,2019-10-22
MN083562.1,2019-04-15
MH183589.1,2018-01-31
